number of the task,PL,NE,SR,time,MTR
1,12.556113465661689,0.17941590610629615,1,34.523743867874146,0.957448804765385
2,44.70078504859054,0.23603699585383933,1,92.92039036750793,0.981134198241932
3,21.74500473276718,0.2188702834436621,1,52.50691819190979,0.9613791904450865
4,44.54467706470718,0.25122839037757966,1,96.06454992294312,0.9773009731866854
5,46.289718511512746,0.21034419077024308,1,100.96040344238281,0.9823929433067822
6,69.0211291273498,16.2229541303079,0,145.96381664276123,0.9820701666021415
7,45.304635980652996,13.304970819789654,0,98.23611187934875,0.981043734996027
8,27.854721590440434,0.22564175731478256,1,65.77258086204529,0.9748201834588157
9,71.63060806594659,0.19658984245648914,1,184.1222710609436,0.9832815475108979
10,77.4948635133257,0.23437204360331207,1,185.65131878852844,0.9825680900228358
overall,461.14225710095485,3.128042436002376,0.8,105.67221050262451,0.9763439832536589
