number of the task,PL,NE,SR,time,MTR
1,12.330212200622176,0.24073858617176755,1,35.230350494384766,0.9556213506687564
2,44.9050026246086,0.23956349760674808,1,96.14989113807678,0.9816065052842085
3,21.718440174055466,0.25352901009288786,1,50.42227745056152,0.970051014164696
4,18.680233837387604,0.25729302793924036,1,45.9445366859436,0.9648322692684501
5,48.48022064551475,1.7452793172442926,1,224.04284477233887,0.9917366302019849
6,61.603325216703794,16.278849834314805,0,132.18305826187134,0.9853278855100719
7,31.038841622038845,27.537516358489754,0,75.10596036911011,0.9740785258000014
8,14.557683571834843,0.26017731623612894,1,46.49603343009949,0.9659877599611717
9,13.821158143715369,18.10949070015993,0,36.83766269683838,0.9252268207423034
10,167.0176641622759,13.60893966204355,0,381.63314485549927,0.9897992717777141
overall,434.15278219875734,7.853137731029911,0.6,112.40457601547241,0.9704268033379359
