number of the task,PL,NE,SR,time,MTR
1,12.702755436162397,0.19878128254640565,1,36.43233323097229,0.9030145754993475
2,44.436649043012984,0.2104882750478575,1,95.11930537223816,0.9638167712468042
3,21.413516552718175,0.2636702381058053,1,53.073859453201294,0.9374802289699502
4,44.70398099065951,0.23278683575407771,1,106.34399747848511,0.8987949068692985
5,46.22163338156039,0.2385318849536602,1,100.1946530342102,0.9626222930688396
6,69.52584777641297,16.218326448929798,0,157.48770904541016,0.9057852049311148
7,26.111440191097312,26.669827856063083,0,105.23299527168274,0.9630517477996181
8,25.6168317651624,0.11033055738959757,1,70.57998085021973,0.9558203564635044
9,63.03608439266836,0.21341436544532025,1,166.17351746559143,0.9737309751772458
10,154.22364694542873,0.23591423874357964,1,372.30192494392395,0.9623072818652281
overall,507.99238647488323,4.459207198297918,0.8,126.2940276145935,0.942642434189095
