number of the task,PL,NE,SR,time,MTR
1,12.515033967113014,0.18408326211751871,1,67.70503401756287,0.5389994830363796
2,44.75065204356788,0.21517660359730972,1,116.50247526168823,0.8102440323368291
3,21.15143310710906,0.24964641900325846,1,73.9393584728241,0.754128391040766
4,44.67057006598706,0.2510836406816504,1,134.90961933135986,0.7841269863879379
5,0,0,0,0,0
6,104.90257857819348,10.915283609823796,0,258.28256845474243,0.8570552666549317
7,0,0,0,0,0
8,52.003621318883425,0.20886402998361278,1,154.36799573898315,0.8603929583349961
9,63.706222498047715,0.5359863668104669,1,241.35161566734314,0.8268236901036317
10,0,0,0,0,0
overall,39.79958883345136,0.2741400536989695,0.6,131.4626830816269,0.7624525902067566
