number of the task,PL,NE,SR,time,MTR
1,12.387571754385055,0.2314450467190003,1,60.46528220176697,0.5784955055458726
2,43.23709093499322,2.104294599318083,1,104.30615854263306,0.7797974712839034
3,21.78950833114759,0.21589316890320828,1,78.00576829910278,0.7473149925044602
4,44.62814597454695,0.23827383213376205,1,127.95119047164917,0.8056432509750614
5,75.20826426036436,0.2645921671334754,1,196.18563723564148,0.8026154556524211
6,54.656606064306764,10.904404559361481,0,165.44059681892395,0.8058773936562904
7,62.80565745769219,4.474672557108946,0,196.09073495864868,0.7622975359482962
8,45.20372242802981,13.652366222459605,0,131.7019853591919,0.8357843473933052
9,63.75930928664176,0.5484605778646086,1,251.85038018226624,0.8100216188856092
10,0,0,0,0,0
overall,43.501648423679825,0.6004932320120229,0.6,136.46073615550995,0.7539813824745546
