number of the task,PL,NE,SR,time,MTR
1,18.05970233790473,5.598324113497039,0,44.437177896499634,0.9674955015889242
2,39.103769076722635,0.2376982212845255,1,85.84996342658997,0.9762239727025747
3,47.21091750957165,6.698495381578953,0,109.63941884040833,0.9837978733980762
4,27.926535335721166,14.874899768565061,0,74.15839195251465,0.9717853302779771
5,63.08920640762724,10.35632631492006,0,130.62570095062256,0.9851461851680621
6,57.3969757511277,20.09541710166201,0,136.33404088020325,0.9871194512310854
7,0,0,0,0,0
8,51.35930789915611,0.21177793697473615,1,134.16005110740662,0.9806385847634922
9,47.82580755546915,8.199604507805242,0,161.94350051879883,0.9784967108075123
10,0,0,0,0,0
overall,90.46307697587875,0.22473807912963084,0.2,110.00500726699829,0.9784312787330334
