number of the task,PL,NE,SR,time,MTR
1,29.25662117478489,2.928848607268637,1,115.30866742134094,0.9835586086875577
2,47.03851026259434,0.17844979983833986,1,105.18066668510437,0.9881851082355573
3,97.87892475385613,0.1351517887326802,1,187.51073002815247,0.9936615336897231
4,47.14133184703935,6.626491449799784,0,102.52257370948792,0.981985644868893
5,39.20236656619437,0.3156372907841547,1,81.2765052318573,0.9833004540816653
6,69.3223862015616,16.269367649227096,0,143.41759753227234,0.9895589016657717
7,58.333203762339345,7.130544763164035,0,123.95964217185974,0.9869458277015773
8,57.455208309320675,0.13150073736567625,1,126.18094205856323,0.986419448084194
9,38.5585654629888,0.21019854455515122,1,110.43528509140015,0.9824365958799951
10,128.25618552454387,0.22592116834499862,1,263.1718158721924,0.9914674359811079
overall,612.4433038652232,3.4152111799080545,0.7,135.8964425802231,0.9867519558876042
