number of the task,PL,NE,SR,time,MTR
1,3.6709921304487945,8.81734810005178,0,48.33797597885132,0.5035171912172309
2,53.58223716856513,0.2297180093189943,1,152.19566893577576,0.7153109890032442
3,22.133607101661244,0.21831274680926965,1,89.94352626800537,0.6327645505098506
4,44.040123327469836,0.24089961526384773,1,131.2648000717163,0.7791208926454601
5,0,0,0,0,0
6,0,0,0,0,0
7,67.55498804407266,4.464126040933943,0,193.3514757156372,0.8002601912936221
8,62.55899209548863,0.18505845510145255,1,185.38473057746887,0.8092547625497007
9,0,0,0,0,0
10,0,0,0,0,0
overall,45.57873992329621,0.21849720662339106,0.4,139.69718146324158,0.7341127986770639
