number of the task,PL,NE,SR,time,MTR
1,35.70813884358984,5.651421943505073,0,149.7432415485382,0.7508007838448533
2,39.17451960336809,0.21666953254536142,1,120.0277783870697,0.7106773322291069
3,21.497313840341175,0.22183329272272728,1,93.37259650230408,0.6299731236935554
4,44.661478624151336,0.2352914961325016,1,146.9416220188141,0.7129748458860511
5,75.40224919484342,0.23741666127144306,1,198.29455161094666,0.7887536696173466
6,54.93011906831999,10.912657573367335,0,172.1083688735962,0.7640667768408933
7,0,0,0,0,0
8,51.947911952792204,0.1841881552071083,1,164.98040628433228,0.8092492431890658
9,0,0,0,0,0
10,74.2500187090332,3.3723505350318463,0,292.4745934009552,0.8822189126414012
overall,46.53669464309924,0.21907982757582833,0.5,144.72339096069337,0.7303256429230252
