number of the task,PL,NE,SR,time,MTR
1,12.442913483965194,0.20709149115709072,1,77.89502477645874,0.44564073429360757
2,45.04534785536678,0.19024665353279469,1,128.77106976509094,0.7574383687492269
3,21.46531571529117,0.20825709551797306,1,89.89894032478333,0.6520136178129261
4,44.19702477197097,0.21303799468185342,1,127.05266618728638,0.8151942448760494
5,75.68571163667929,0.16474234502825857,1,194.24642634391785,0.825348333835204
6,0,0,0,0,0
7,0,0,0,0,0
8,51.882750654943855,0.2057722839950337,1,154.2932481765747,0.8490216671986276
9,63.37323370379362,0.5550898569589585,1,227.54387164115906,0.8526987139282136
10,0,0,0,0,0
overall,44.87032826028727,0.24917681726742322,0.7,142.81446388789587,0.742479382956265
