number of the task,PL,NE,SR,time,MTR
1,3.9346009269062914,8.849773980978501,0,53.66448211669922,0.5031396206889738
2,53.75654772233418,0.19463622332053493,1,151.87744069099426,0.7981088187135654
3,21.52707869800594,0.21998158193660416,1,85.85345792770386,0.7036670233109438
4,44.32540876474258,0.2200978313573611,1,136.82414484024048,0.773471759244301
5,75.74809830328033,0.2304350973126328,1,209.81322503089905,0.7901054490155376
6,45.39748678067249,6.743561527942087,0,165.78193736076355,0.7989093499996662
7,0,0,0,0,0
8,17.118922088334525,10.245334360955349,0,88.13665342330933,0.6997752342118667
9,130.3015456139379,7.883804063786097,0,361.20930099487305,0.8842417315054335
10,0,0,0,0,0
overall,48.83928337209076,0.21628768348178323,0.4,146.0920671224594,0.766338262571087
