number of the task,PL,NE,SR,time,MTR
1,11.13431729576918,2.3941173499998523,1,31.912741899490356,0.9611607143757659
2,46.16969656069585,0.26716851292037436,1,95.27298760414124,0.9887774486109648
3,21.33433452806551,0.23746399257203726,1,47.21987771987915,0.9741119821540858
4,47.12520014731684,6.484327438823197,0,101.6146981716156,0.9833900744958503
5,39.09033003705864,0.21825628361776048,1,78.5290629863739,0.9845349171454281
6,69.54008171060403,16.254490510826546,0,145.03039121627808,0.9915436348962122
7,57.969914592071035,7.194487730564663,0,116.73778295516968,0.9822022440242324
8,58.084108508723816,0.17201568102832204,1,129.7896764278412,0.9890305669380346
9,62.612359933562125,0.24736419947901564,1,148.90838813781738,0.9904604973652085
10,164.77362922722716,0.21355842493421803,1,333.653582572937,0.9931988430987186
overall,577.8339725410942,3.3683250124765984,0.7,122.86691896915436,0.9838410923104502
