number of the task,PL,NE,SR,time,MTR
1,3.5081354707632464,8.940997535570036,0,59.421032190322876,0.4282975981775668
2,53.340977443323354,0.21815447952901718,1,140.84572005271912,0.7747614244932914
3,21.608690047552084,0.24627657186909363,1,122.67851758003235,0.46520245883422123
4,44.74402456510636,0.21027215161385254,1,163.56997323036194,0.644818316056078
5,75.33023193280171,0.23735790974616522,1,199.4284951686859,0.7775634672314873
6,0,0,0,0,0
7,63.02056208743909,4.432834372545259,0,204.90653228759766,0.7205078428904185
8,0.0021122436390963607,21.41710656062632,0,72.85334014892578,0.2224333147136469
9,0,0,0,0,0
10,0,0,0,0,0
overall,48.75598099719588,0.22801527818953213,0.4,156.63067650794983,0.6655864166537695
