number of the task,PL,NE,SR,time,MTR
1,12.710511545633711,0.20631288408411946,1,58.502387046813965,0.5940136572652941
2,44.954919733997976,0.23893179231747821,1,128.44541954994202,0.731862704825174
3,21.694331245165227,0.23910298431926802,1,76.04315447807312,0.759538735873419
4,44.49702780558709,0.19428203608052058,1,126.67945694923401,0.8246122891794956
5,49.889302584560575,9.78017873310711,0,123.33767414093018,0.8202433369023983
6,54.83727114726503,10.928149798306393,0,163.67756152153015,0.8075814744669876
7,0,0,0,0,0
8,51.88750387347745,0.19729211550891068,1,163.1022560596466,0.7923816552991717
9,0,0,0,0,0
10,86.8906675209502,5.659606202367046,0,348.34532713890076,0.8537131608777981
overall,35.14885884077229,0.21518436246205938,0.5,110.55453481674195,0.7404818084885109
